Sample	
Comments	
Filename	C:\WINDMAX\DATA\USERS\GEO\GEO_ER~1\Pyrenees\BULKMA~1\JA_08-C.raw
Goniometer	Ultima IV In-plane
Attachment	Auto sample changer (10 samples)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/44mA
DivSlit	2/3deg.
DivH.L.Slit	10mm
SctSlit	2/3deg.
RecSlit	0.3mm
Start	16
Stop	44
Step	0.02
Speed	0.3
Offset	0
40.64	489.75
40.66	518.5
40.68	514
40.7	533
40.72	529.75
40.74	526.75
40.76	542.75
40.78	529.25
40.8	560
40.82	540
40.84	555.75
40.86	562.75
40.88	571.75
40.9	560.25
40.92	569.75
40.94	592
40.96	615.75
40.98	628.75
41	617
41.02	617.5
41.04	660
41.06	648.75
41.08	676.75
41.1	661.25
41.12	647.5
41.14	666.5
41.16	653.25
41.18	655.75
41.2	650.25
41.22	632.5
41.24	593.25
41.26	604.5
41.28	593.25
41.3	571.5
41.32	558.25
41.34	525.25
41.36	510.25
41.38	529
41.4	516.25
41.42	507.25
41.44	490.75
41.46	496
41.48	497.5
41.5	480.25
41.52	486.25
41.54	481
41.56	499.25
41.58	467
41.6	475.25
41.62	479.25
41.64	466.75
41.66	476.75
41.68	480.25
41.7	465.75
41.72	473.5
41.74	473.5
41.76	481.5
41.78	455.5
41.8	474.5
41.82	465.75
41.84	493.5
41.86	496.25
41.88	491
41.9	499.75
41.92	498.5
41.94	508
41.96	504
41.98	486.75
42	501.75
42.02	497.5
42.04	516.5
42.06	503.25
42.08	515
42.1	523.75
42.12	524
42.14	508
42.16	530.75
42.18	516.75
42.2	536
42.22	530.5
42.24	577
42.26	563.25
42.28	582.5
42.3	615.25
42.32	646.75
42.34	635.25
42.36	690.75
42.38	766
42.4	796.25
42.42	816
42.44	859
42.46	832.25
42.48	844.5
42.5	813.5
42.52	812.25
42.54	826.5
42.56	756
42.58	734.75
42.6	725.75
42.62	696.5
42.64	724
42.66	706.5
42.68	725.5
42.7	723
42.72	735
42.74	739
42.76	707.75
42.78	710.75
42.8	664.75
42.82	668.75
42.84	650.25
42.86	635
42.88	588
42.9	600
42.92	600.5
42.94	583.75
42.96	562
42.98	582.5
43	588.25
43.02	567.75
43.04	647.75
43.06	676.5
43.08	738.75
43.1	781.25
43.12	882.25
43.14	964.75
43.16	1077.5
43.18	1203
43.2	1277
43.22	1302.75
43.24	1359.25
43.26	1360.75
43.28	1344.5
43.3	1264
43.32	1202.75
43.34	1170
43.36	1070.5
43.38	993.5
43.4	925.5
43.42	855
43.44	810.5
43.46	728.75
43.48	729.25
43.5	702
43.52	704.75
43.54	718.75
43.56	760
43.58	735.75
43.6	745
43.62	754
43.64	738.25
43.66	728.25
43.68	707.25
43.7	704.75
43.72	668
43.74	644
43.76	630
43.78	581.75
43.8	592.25
43.82	540.5
43.84	555.5
43.86	522.5
43.88	519.75
43.9	536.25
43.92	512.75
43.94	506.5
43.96	490
43.98	504.75
44	509.75
