0: 15D-TMTE-TiO2,1:15D-ILM-TiO2,2:15D-Temps,3:15D-NNO,4:21A-TMTE-TiO2,5:21A-ILM-TiO2,6:21A-temps,7:21A-NNO,8:19i-TMTE-TiO2,9:19i-ILM_bottom-TiO2,10:19i-ILM_top-TiO2,11:19i-temps_bottom,12:19i-NNO_bottom,13:19i-temps_top,14:19i-NNO_top,15:3D-TMTE-TiO2,16:3D-ILM-TiO2,17:3D-temps,18:3D-NNO,19:21F-TMTE-TiO2,20:21F-ILM-TiO2,21:21F-temps,22:21F-NNO,23:19G-TMTE,24:19G-ILM,25:19G-Temps,26:19G-NNO,27:19H-TMTE31,28:19H-TMTE32,29:19H-ILM,230:19H-31-temps,31:19H-31-NNO,32:19H-32-temps,33:19H-32-NNO,34:15D-TMTE-TiO2,35:15D-ILM-TiO2
0.00,0.00,0,0.00,0.00,0.00,785.4065003,0.30900011,0.00,0.00,0.00,0,0,804.4789692,0,0.00,0.00,784.9264652,0.449608033,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.20,0.00
0.00,0.00,0,0.00,0.00,0.00,782.9600944,0.322287093,0.00,0.00,0.00,0,0,800.228675,0,0.00,0.00,786.270996,0.441684049,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.23,0.00
0.00,0.00,0,0.00,0.00,0.00,786.2261581,0.313457531,0.00,0.00,0.00,0,0,795.9409628,0,0.00,0.00,781.3176314,0.462063997,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.36,0.00
0.00,0.00,0,0.00,0.00,0.00,781.397488,0.324960251,0.00,0.00,0.00,0,0,819.3624937,0,0.00,0.00,787.6334261,0.440685064,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.34,0.00
0.00,0.00,0,0.00,0.00,0.00,785.522557,0.312128535,0.00,0.00,0.00,0,0,796.9118219,0,0.00,0.00,786.3594714,0.442357253,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.34,0.00
0.00,0.00,0,0.00,0.00,0.00,785.0804344,0.319188539,0.00,0.00,0.00,0,0,799.7061866,0.624572531,0.00,0.00,786.8892531,0.446116697,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.33,0.00
0.00,0.00,0,0.00,0.00,0.00,785.1462625,0.32099059,0.00,0.00,0.00,0,0,794.9877764,0.641189966,0.00,0.00,788.8216443,0.43699004,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.06,0.00
0.00,0.00,0,0.00,0.00,0.00,785.0695564,0.312128733,0.00,0.00,0.00,0,0,806.4831381,0.608901346,0.00,0.00,783.5982905,0.457870674,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,7.64,0.00
0.00,0.00,0,0.00,0.00,0.00,776.1842682,0.340273326,0.00,0.00,0.00,0,0,794.5130843,0.637774814,0.00,0.00,787.6563329,0.442049022,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.32,0.00
0.00,0.00,0,0.00,0.00,0.00,788.3686672,0.308516498,0.00,0.00,0.00,0,0,794.4319327,0.645503554,0.00,0.00,787.1014816,0.440681222,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.32,0.00
0.00,0.00,0,0.00,0.00,0.00,784.0301065,0.321357745,0.00,0.00,0.00,0,0,800.5976434,0.620286376,0.00,0.00,789.5219354,0.43110558,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.35,0.00
0.00,0.00,0,0.00,0.00,0.00,788.6512314,0.304760914,0.00,0.00,0.00,0,0,792.5192945,0.651539048,0.00,0.00,788.9051858,0.432811977,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.36,0.00
0.00,0.00,0,0.00,0.00,0.00,778.8539464,0.416627802,0.00,0.00,0.00,0,0,793.6800049,0.644410556,0.00,0.00,789.2880095,0.439988795,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.35,0.00
0.00,0.00,0,0.00,0.00,0.00,786.4360786,0.399933662,0.00,0.00,0.00,0,0,800.7265989,0.617157269,0.00,0.00,783.2039912,0.453439137,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.30,0.00
0.00,0.00,0,0.00,0.00,0.00,783.902638,0.405381195,0.00,0.00,0.00,0,0,796.5096951,0.63657686,0.00,0.00,790.4684716,0.424707853,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.33,0.00
0.00,0.00,0,0.00,0.00,0.00,790.1910053,0.380584042,0.00,0.00,0.00,0,0,792.2512298,0.645833791,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.37,0.00
0.00,0.00,0,0.00,0.00,0.00,788.5127613,0.386861843,0.00,0.00,0.00,0,0,815.5003154,0.570846981,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.36,0.00
0.00,0.00,0,0.00,0.00,0.00,786.768688,0.397539041,0.00,0.00,0.00,0,0,793.2153962,0.649732314,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.34,0.00
0.00,0.00,0,0.00,0.00,0.00,791.3510493,0.382349027,0.00,0.00,0.00,0,0,807.8888346,0.690802125,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.31,0.00
0.00,0.00,0,0.00,0.00,0.00,792.3618232,0.377317637,0.00,0.00,0.00,0,0,803.0949741,0.707346278,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.34,0.00
0.00,0.00,0,0.00,0.00,0.00,791.9596979,0.386788865,0.00,0.00,0.00,0,0,814.7684841,0.675256441,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.29,0.00
0.00,0.00,0,0.00,0.00,0.00,790.8891196,0.386433171,0.00,0.00,0.00,0,0,802.6226222,0.703882544,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,7.94,0.00
0.00,0.00,0,0.00,0.00,0.00,787.7413491,0.392605877,0.00,0.00,0.00,0,0,802.5306061,0.711652378,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.26,0.00
0.00,0.00,0,0.00,0.00,0.00,786.5473371,0.393147965,0.00,0.00,0.00,0,0,808.7983943,0.686518145,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.39,0.00
0.00,0.00,0,0.00,0.00,0.00,792.4344807,0.369415463,0.00,0.00,0.00,0,0,800.5918999,0.717638184,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.41,0.00
0.00,0.00,0,0.00,0.00,0.00,789.9569564,0.382701937,0.00,0.00,0.00,0,0,801.7681799,0.710536206,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.09,0.00
